Laikotarpis,Reikšmė
2005K1,4385.7
2005K2,5170.7
2005K3,5570.8
2005K4,5852.8
2006K1,5034.3
2006K2,5880.7
2006K3,6450.4
2006K4,6687.9
2007K1,6023.8
2007K2,7168.8
2007K3,7826.8
2007K4,7991.9
2008K1,7158.6
2008K2,8474
2008K3,8732.4
2008K4,8295
2009K1,6385.9
2009K2,7056.3
2009K3,6815.8
2009K4,6639.1
2010K1,6285.1
2010K2,7123.6
2010K3,7340.5
2010K4,7284.7
2011K1,6914.7
2011K2,7987.3
2011K3,8366.9
2011K4,8048.3
2012K1,7496.9
2012K2,8338.6
2012K3,8978.3
2012K4,8596.4
2013K1,7715.6
2013K2,8784.3
2013K3,9532.3
2013K4,9007.4
2014K1,8187.2
2014K2,9209.1
2014K3,9899.8
2014K4,9285.2
2015K1,8212
2015K2,9366.9
2015K3,10131.1
2015K4,9635.7
2016K1,8564.7
2016K2,9742.8
2016K3,10473.4
2016K4,10109
2017K1,9313.9
2017K2,10491
2017K3,11455.4
2017K4,11016
2018K1,10013
2018K2,11291.8
2018K3,12151.8
2018K4,12058.6
2019K1,10817.9
2019K2,12171.9
2019K3,13070.5
2019K4,12898.9
2020K1,11410.7
2020K2,11816.7
2020K3,13585.1
2020K4,13060.6
2021K1,12109.3
2021K2,13829.5
2021K3,15417
2021K4,15122.3
2022K1,14697.4
2022K2,16459.6
2022K3,18688.5
2022K4,17591
2023K1,16209.8
