"Laikotarpis","Kiekis, kg"
2015-01-01,2295.0
2015-02-01,2389.0
2015-03-01,2735.0
2015-04-01,1976.0
2015-05-01,2479.0
2015-06-01,1983.0
2015-07-01,2312.0
2015-08-01,2339.0
2015-09-01,2684.0
2015-10-01,2590.0
2015-11-01,2809.0
2015-12-01,3558.0
2016-01-01,2646.0
2016-02-01,2073.0
2016-03-01,4264.0
2016-04-01,2404.0
2016-05-01,2790.0
2016-06-01,2404.0
2016-07-01,2654.0
2016-08-01,3725.0
2016-09-01,2886.0
2016-10-01,3391.0
2016-11-01,3419.0
2016-12-01,5584.0
2017-01-01,4822.0
2017-02-01,5490.0
2017-03-01,6401.0
2017-04-01,5919.0
2017-05-01,6763.0
2017-06-01,5839.0
2017-07-01,11870.0
2017-08-01,17583.0
2017-09-01,15003.0
2017-10-01,18269.0
2017-11-01,17180.0
2017-12-01,19451.0
2018-01-01,14582.0
2018-02-01,12158.0
2018-03-01,15111.0
2018-04-01,13619.0
2018-05-01,13197.0
2018-06-01,13004.0
2018-07-01,15799.0
2018-08-01,16907.0
2018-09-01,14427.0
2018-10-01,16565.0
2018-11-01,15516.0
2018-12-01,18790.0
2019-01-01,15255.0
2019-02-01,16754.0
2019-03-01,17554.0
2019-04-01,17529.0
2019-05-01,16199.0
2019-06-01,15348.0
2019-07-01,18882.0
2019-08-01,21030.0
2019-09-01,16687.0
2019-10-01,18535.0
2019-11-01,18483.0
2019-12-01,21195.0
2020-01-01,19242.0
2020-02-01,18609.0
2020-03-01,18911.0
2020-04-01,15133.0
2020-05-01,18007.0
2020-06-01,19566.0
2020-07-01,22363.0
2020-08-01,22801.0
2020-09-01,22422.0
2020-10-01,24894.0
2020-11-01,19526.0
2020-12-01,21721.0
2021-01-01,18103.0
2021-02-01,19863.0
2021-03-01,18975.0
2021-04-01,19179.0
2021-05-01,20803.0
2021-06-01,21380.0
2021-07-01,24399.0
2021-08-01,27410.0
2021-09-01,26717.0
2021-10-01,29852.0
2021-11-01,24093.0
2021-12-01,27269.0
2022-01-01,14139.0
2022-02-01,22082.0
2022-03-01,23421.0
2022-04-01,26221.0
2022-05-01,16853.0
2022-06-01,16793.0
2022-07-01,16833.0
2022-08-01,17152.0
2022-09-01,16347.0
2022-10-01,18751.0
2022-11-01,15136.0
2022-12-01,21975.0
